Elememts Number:  1516	     8
    5:	    2	    2
   37:	    2	    3
  161:	    1	    4
   45:	    2	    3
   69:	    2	    3
  193:	    2	    4
   77:	    2	    3
   10:	    2	    2
   85:	    2	    3
 1001:	    0	    8
 1493:	    2	    7
   15:	    2	    2
 1741:	    2	    7
 1009:	    0	    8
   93:	    2	    3
   20:	    2	    2
  353:	    1	    5
 1613:	    2	    7
  385:	    1	    5
  417:	    2	    5
 1869:	    1	    7
  449:	    2	    5
  117:	    2	    4
 1021:	    0	    8
  121:	    1	    4
  129:	    1	    4
 1033:	    0	    8
  133:	    2	    4
   38:	    2	    3
   39:	    2	    3
  101:	    2	    4
  269:	    2	    5
 1045:	    0	    8
  273:	    1	    5
  109:	    2	    4
   47:	    2	    3
   48:	    2	    3
  281:	    1	    5
 1057:	    0	    8
  285:	    2	    5
   54:	    2	    3
   55:	    2	    3
   56:	    2	    3
  737:	    1	    6
 1549:	    2	    7
  769:	    1	    6
   62:	    2	    3
   63:	    2	    3
   64:	    2	    3
  801:	    1	    6
 1677:	    2	    7
  833:	    1	    6
   70:	    2	    3
  181:	    2	    4
   72:	    2	    3
  865:	    2	    6
 1805:	    1	    7
  897:	    2	    6
   78:	    2	    3
  205:	    2	    4
   80:	    2	    3
  929:	    2	    6
 1933:	    1	    7
  961:	    2	    6
   86:	    2	    3
   87:	    2	    3
  213:	    2	    4
  293:	    2	    5
 1069:	    0	    8
  297:	    1	    5
  221:	    2	    4
   95:	    2	    3
   96:	    2	    3
  305:	    1	    5
 1081:	    0	    8
  309:	    2	    5
  102:	    2	    4
  103:	    2	    4
  229:	    2	    5
  573:	    2	    6
 1093:	    0	    8
  577:	    1	    6
  237:	    2	    5
  111:	    2	    4
  112:	    2	    4
  585:	    1	    6
 1105:	    0	    8
  589:	    2	    6
  118:	    2	    4
  119:	    2	    4
  245:	    2	    5
  249:	    1	    5
  123:	    1	    4
  124:	    1	    4
  597:	    2	    6
 1117:	    0	    8
  601:	    1	    6
  130:	    1	    4
  131:	    1	    4
  257:	    1	    5
  261:	    2	    5
  135:	    2	    4
  136:	    2	    4
  609:	    1	    6
 1129:	    0	    8
  613:	    2	    6
  621:	    2	    6
 1141:	    0	    8
  625:	    1	    6
  633:	    1	    6
 1153:	    0	    8
  637:	    2	    6
  150:	    2	    4
  151:	    2	    4
  152:	    2	    4
 1505:	    1	    7
 1517:	    2	    7
 1537:	    1	    7
  158:	    2	    4
  159:	    2	    4
  160:	    2	    4
  162:	    1	    4
  369:	    1	    5
  164:	    1	    4
 1569:	    1	    7
 1581:	    2	    7
 1601:	    1	    7
 1633:	    1	    7
 1645:	    2	    7
 1665:	    1	    7
  174:	    2	    4
  175:	    2	    4
  176:	    2	    4
 1697:	    1	    7
 1709:	    2	    7
 1729:	    1	    7
  182:	    2	    4
  405:	    2	    5
  184:	    2	    4
 1761:	    2	    7
 1773:	    1	    7
 1793:	    2	    7
  190:	    1	    4
  191:	    1	    4
  192:	    1	    4
  194:	    2	    4
  433:	    2	    5
  196:	    2	    4
 1825:	    2	    7
 1837:	    1	    7
 1857:	    2	    7
 1889:	    2	    7
 1901:	    1	    7
 1921:	    2	    7
  206:	    2	    4
  461:	    2	    5
  208:	    2	    4
 1953:	    2	    7
 1965:	    1	    7
 1985:	    2	    7
  214:	    2	    4
  215:	    2	    4
  469:	    2	    5
  645:	    2	    6
 1165:	    0	    8
  649:	    1	    6
  477:	    2	    5
  223:	    2	    4
  224:	    2	    4
  657:	    1	    6
 1177:	    0	    8
  661:	    2	    6
  230:	    2	    5
  231:	    2	    5
  485:	    2	    6
 1181:	    2	    7
 1189:	    0	    8
 1185:	    1	    7
  493:	    2	    6
  239:	    2	    5
  240:	    2	    5
 1193:	    1	    7
 1201:	    0	    8
 1197:	    2	    7
  246:	    2	    5
  247:	    2	    5
  501:	    2	    6
  505:	    1	    6
  251:	    1	    5
  252:	    1	    5
 1205:	    2	    7
 1213:	    0	    8
 1209:	    1	    7
  258:	    1	    5
  259:	    1	    5
  513:	    1	    6
  517:	    2	    6
  263:	    2	    5
  264:	    2	    5
 1217:	    1	    7
 1225:	    0	    8
 1221:	    2	    7
  270:	    2	    5
  271:	    2	    5
  525:	    2	    6
  529:	    1	    6
  275:	    1	    5
  276:	    1	    5
 1229:	    2	    7
 1237:	    0	    8
 1233:	    1	    7
  282:	    1	    5
  283:	    1	    5
  537:	    1	    6
  541:	    2	    6
  287:	    2	    5
  288:	    2	    5
 1241:	    1	    7
 1249:	    0	    8
 1245:	    2	    7
  294:	    2	    5
  295:	    2	    5
  549:	    2	    6
  553:	    1	    6
  299:	    1	    5
  300:	    1	    5
 1253:	    2	    7
 1261:	    0	    8
 1257:	    1	    7
  306:	    1	    5
  307:	    1	    5
  561:	    1	    6
  565:	    2	    6
  311:	    2	    5
  312:	    2	    5
 1265:	    1	    7
 1273:	    0	    8
 1269:	    2	    7
 1277:	    2	    7
 1285:	    0	    8
 1281:	    1	    7
 1289:	    1	    7
 1297:	    0	    8
 1293:	    2	    7
 1301:	    2	    7
 1309:	    0	    8
 1305:	    1	    7
 1313:	    1	    7
 1321:	    0	    8
 1317:	    2	    7
 1325:	    2	    7
 1333:	    0	    8
 1329:	    1	    7
 1337:	    1	    7
 1345:	    0	    8
 1341:	    2	    7
  342:	    2	    5
  343:	    2	    5
  344:	    2	    5
  729:	    1	    7
 1501:	    2	    7
  741:	    1	    7
  350:	    2	    5
  351:	    2	    5
  352:	    2	    5
  354:	    1	    5
  753:	    1	    6
  356:	    1	    5
  745:	    1	    7
 1533:	    2	    7
  757:	    1	    7
  761:	    1	    7
 1565:	    2	    7
  773:	    1	    7
  366:	    2	    5
  367:	    2	    5
  368:	    2	    5
  370:	    1	    5
  785:	    1	    6
  372:	    1	    5
  777:	    1	    7
 1597:	    2	    7
  789:	    1	    7
  793:	    1	    7
 1629:	    2	    7
  805:	    1	    7
  382:	    2	    5
  383:	    2	    5
  384:	    2	    5
  386:	    1	    5
  817:	    1	    6
  388:	    1	    5
  809:	    1	    7
 1661:	    2	    7
  821:	    1	    7
  825:	    1	    7
 1693:	    2	    7
  837:	    1	    7
  398:	    2	    5
  399:	    2	    5
  400:	    2	    5
  841:	    1	    7
 1725:	    2	    7
  849:	    1	    7
  406:	    2	    5
  853:	    2	    6
  408:	    2	    5
  857:	    2	    7
 1757:	    1	    7
  869:	    2	    7
  414:	    1	    5
  415:	    1	    5
  416:	    1	    5
  418:	    2	    5
  881:	    2	    6
  420:	    2	    5
  873:	    2	    7
 1789:	    1	    7
  885:	    2	    7
  889:	    2	    7
 1821:	    1	    7
  901:	    2	    7
  430:	    1	    5
  431:	    1	    5
  432:	    1	    5
  434:	    2	    5
  913:	    2	    6
  436:	    2	    5
  905:	    2	    7
 1853:	    1	    7
  917:	    2	    7
  921:	    2	    7
 1885:	    1	    7
  933:	    2	    7
  446:	    1	    5
  447:	    1	    5
  448:	    1	    5
  450:	    2	    5
  945:	    2	    6
  452:	    2	    5
  937:	    2	    7
 1917:	    1	    7
  949:	    2	    7
  953:	    2	    7
 1949:	    1	    7
  965:	    2	    7
  462:	    2	    5
  973:	    2	    6
  464:	    2	    5
  969:	    2	    7
 1981:	    1	    7
  977:	    2	    7
  470:	    2	    5
  471:	    2	    5
  981:	    2	    6
 1349:	    2	    7
 1357:	    0	    8
 1353:	    1	    7
  989:	    2	    6
  479:	    2	    5
  480:	    2	    5
 1361:	    1	    7
 1369:	    0	    8
 1365:	    2	    7
  486:	    2	    6
  487:	    2	    6
  997:	    2	    7
  490:	    2	    7
 1373:	    0	    8
  492:	    1	    7
 1005:	    2	    7
  495:	    2	    6
  496:	    2	    6
  498:	    1	    7
 1377:	    0	    8
  500:	    2	    7
  502:	    2	    6
  503:	    2	    6
 1013:	    2	    7
 1017:	    1	    7
  507:	    1	    6
  508:	    1	    6
  510:	    2	    7
 1381:	    0	    8
  512:	    1	    7
  514:	    1	    6
  515:	    1	    6
 1025:	    1	    7
 1029:	    2	    7
  519:	    2	    6
  520:	    2	    6
  522:	    1	    7
 1385:	    0	    8
  524:	    2	    7
  526:	    2	    6
  527:	    2	    6
 1037:	    2	    7
 1041:	    1	    7
  531:	    1	    6
  532:	    1	    6
  534:	    2	    7
 1389:	    0	    8
  536:	    1	    7
  538:	    1	    6
  539:	    1	    6
 1049:	    1	    7
 1053:	    2	    7
  543:	    2	    6
  544:	    2	    6
  546:	    1	    7
 1393:	    0	    8
  548:	    2	    7
  550:	    2	    6
  551:	    2	    6
 1061:	    2	    7
 1065:	    1	    7
  555:	    1	    6
  556:	    1	    6
  558:	    2	    7
 1397:	    0	    8
  560:	    1	    7
  562:	    1	    6
  563:	    1	    6
 1073:	    1	    7
 1077:	    2	    7
  567:	    2	    6
  568:	    2	    6
  570:	    1	    7
 1401:	    0	    8
  572:	    2	    7
  574:	    2	    6
  575:	    2	    6
 1085:	    2	    7
 1089:	    1	    7
  579:	    1	    6
  580:	    1	    6
  582:	    2	    7
 1405:	    0	    8
  584:	    1	    7
  586:	    1	    6
  587:	    1	    6
 1097:	    1	    7
 1101:	    2	    7
  591:	    2	    6
  592:	    2	    6
  594:	    1	    7
 1409:	    0	    8
  596:	    2	    7
  598:	    2	    6
